allerdings;pero, no obstante,naturalmente, claro que sí;ADV;Sie können sich noch für den Kurs anmelden, allerdings nur noch bis morgen.
andererseits;"";ADV;Tarek will zwar studieren. Anderer- seits möchte er aber auch gleich Geld verdienen.
anders;de otra manera [oder forma] que,de otro modo que,distinto a/de,al contrario que;ADV;1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.
auch;también, asimismo,incluso, ni siquiera,en efecto, de hecho,además, también;ADV;1. Ich muss leider gehen. – Ich auch. 2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten. 3. Wir fahren auf jeden Fall, auch wenn es regnet. 4. Der Zug ist gerade eben abgefahren.Warum kommst du auch so spät?
aufwärts;(hacia) arriba;ADV;1. Sie müssen gut zu Fuß sein. Es geht immer aufwärts.2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.
auseinander ;separadamente;ADV;Wir wohnen nicht weit auseinander.
außerdem;además, aparte;ADV;1. Möchten Sie außerdem noch etwas? 2. Der Film war langweilig, und außerdem haben die Schauspieler schlecht gespielt.
bald;pronto, en breve,casi, por poco;ADV;1. Besuchen Sie uns doch bald mal. 2. Geben Sie mir bitte so bald wie möglich Bescheid. 3. Auf Wiedersehen, bis bald!
beinahe;"";ADV;Ich habe heute beinahe den Bus verpasst.
bereits ;ya;ADV;Haben Sie die Rechnung bereits bezahlt?
besonders;particularmente, especialmente,especialmente, en particular;ADV;1. Ich habe heute ein besonders günstiges Angebot gesehen. 2. Durch den Sturm gab es besonders in Süddeutschland schwere Schäden. 3. Wie geht’s ? – Nicht besonders.
circa;cerca de,aproximadamente;ADV;Von Mainz nach Frankfurt sind es circa 50 Kilometer.
dafür;de esto, para esto,en cambio,en lugar de ello,teniendo en cuenta que, contando con que,por algo, para algo;ADV;Mein Bruder interessiert sich für Politik. Ich interessiere mich nicht dafür.
daher;de ahí,por eso;ADV;Sie haben die Rechnung noch nicht bezahlt. Daher haben wir Ihnen eine Mahnung geschickt.
dahin;allí, ahí,hacia allí, hacia ahí,a tal extremo, a tal punto;ADV;Stell die Blumen bitte dahin.
damals;entonces, en aquel tiempo;ADV;Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.
danach;después,más tarde,a continuación,después, detrás,como corresponde;ADV;Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon.
daneben;al lado,en comparación,por el contrario, por contra,además, al mismo tiempo;ADV;Du weißt doch, wo die Post ist. Gleich daneben ist die Bank.
deshalb;por eso, por este motivo;ADV;Ich war krank. Deshalb war ich nicht im Büro.
diesmal;esta vez;ADV;Die letzten Spiele haben wir verloren. Diesmal haben wir zum Glück gewonnen.
dort ;allí, allá, ahí;ADV;Dort drüben ist der Bahnhof. 
dorthin ;hasta allí, hacia ahí;ADV;Deine Tasche kannst du dorthin stellen.
draußen;fuera,al aire libre,lejos (de aquí);ADV;1. Es ist kalt draußen. 2. Wir müssen draußen warten.
drüben;al otro lado, enfrente;ADV;Dort drüben ist die Haltestelle.
ebenso;igualmente, del mismo modo;ADV;Schöne Feiertage. – Danke, ebenso.
einerseits;por una parte, por un lado;ADV;Ich finde dieses Gesetz einerseits richtig, andererseits wird dadurch alles teurer.
einmal;una vez,antes,alguna vez, un día;ADV;"1. Ich habe diese Oper leider
nur einmal gesehen. 2. Bitte rufen Sie morgen noch einmal an. 3. Auf einmal ging das Licht aus. 4. Ich kann nicht alles auf einmal
machen. 5. Sehen wir uns (ein)mal wieder? 6. Vor Jahren habe ich (ein)mal in
Wien gewohnt. 7. Komm doch bitte (ein)mal her und
hilf mir."
genauso;de igual modo,de la misma manera;ADV;Katarina sieht genauso aus wie ihre Schwester.
genug;bastante, suficiente;ADV;1. Es ist noch genug Suppe da. 2. Ich habe jetzt lange genug gewartet. 3. Ich verdiene nicht genug.
geradeaus;seguido, recto, derecho;ADV;Fahren Sie geradeaus bis zur nächsten Kreuzung.
gern/gerne;"";ADV;1. Ich helfe Ihnen gern. 2. Kaffee oder Tee? – Ich möchte gerne einen Tee. 3. Sehr gern trinke ich Kaffee.
gleichfalls;igualmente;ADV;Schöne Feiertage! – Danke, gleichfalls.
halbtags;media jornada;ADV;Ich habe ein kleines Kind und kann nicht acht Stunden am Tag arbeiten. Deshalb möchte ich halbtags arbeiten.
hier;aquí,¡presente!,ahora,en este punto, aquí;ADV;1. Hier wohne ich. 2. Von hier hat man eine herrliche Aussicht. 3. Hier sind die Schlüssel für meine Wohnung. Kannst Du meine Blumen gießen? 4. Hier ist 06131-553221, Pamela Linke. Bitte hinterlassen Sie eine Nachricht.
hierher;(hacia) aquí,para acá;ADV;Ich komme oft hierher. In diesem Café gibt es guten Kuchen.
hinten;detrás,atrás,en la parte posterior,al fondo;ADV;1. Wo möchtest du sitzen? Hinten oder vorne? 2. Bitte hinten aussteigen! 3. Der Eingang ist hinten.
hinterher;detrás,después,posteriormente;ADV;Vor der Prüfung habe ich so viel gelernt. Hinterher habe ich vieles wieder vergessen.
höchstens ;como mucho, no más de,excepto,en todo caso;ADV;Ich habe wenig Zeit. Ich kann höchstens eine Viertelstunde bleiben.
hoffentlich ;ojalá +subj;ADV;Hoffentlich hat unser Zug keine Verspätung.
immer;siempre,continuamente, permanentemente;ADV;1. Frau Bast kommt immer zu spät. 2. Mein Kollege liegt immer noch im Krankenhaus. 3. Die Schmerzen werden immer schlimmer.
innen;(por) dentro, en el interior;ADV;Der Lichtschalter ist innen links.
insgesamt;en total, en conjunto;ADV;Insgesamt haben sich 20 Teilnehmer für die Prüfung angemeldet.
inzwischen;entretanto, mientras tanto;ADV;Herr Müller kommt gleich zurück. Sie können inzwischen in seinem Büro warten.
irgendwann;algún día, en cualquier momento;ADV;Ich habe Sie irgendwann schon mal gesehen.
jederzeit ;siempre, a cualquier hora;ADV;Sie können mich jederzeit anrufen.
jemals;alguna vez, jamás;ADV;Hast du jemals von dem Problem gehört? – Nein, nie.
kaum;probablemente no,apenas;ADV;1. Ich kann Sie kaum verstehen. Bitte sprechen Sie lauter. 2. Es hat letzte Woche kaum geregnet. 3. Die Fahrt hat nicht lange gedauert. Kaum 20 Minuten.
leider;por desgracia, lamentablemente;ADV;1. Da kann ich Ihnen leider nicht helfen. 2. Hast du schon eine Antwort auf deinen Brief? – Leider nicht. 3. Leider kann ich nicht kommen. Ich muss zum Arzt.
manchmal;a veces, de vez en cuando,a menudo;ADV;1. Manchmal gehe ich mit meiner Frau ins Café. 2. Rauchen Sie? – Manchmal.
meinetwegen;"";ADV;Meinetwegen kannst du heute das Auto haben.
mindestens;por lo menos,como mínimo;ADV;1. Ein guter Fernsehapparat kostet mindestens 1000 Euro.2. Bitte kommen Sie mindestens eine Stunde vor Abflug zum Flughafen.
nachher;después,luego;ADV;Ich rufe nachher noch mal an.
nämlich;porque,es que,a saber, o sea;ADV;Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.
nebenan;al lado;ADV;Das ist José, er wohnt nebenan.
nebenbei;al mismo tiempo,además,aparte,de pasada;ADV;1. Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe. 2. Ich mache die Hausarbeit und nebenbei höre ich Radio.
neulich;el otro día, hace poco;ADV;Stell dir vor, ich habe neulich unseren Lehrer gesehen.
nie;nunca, jamás;ADV;1. Der Chef ist nie da. 2. Warum bist du nie zufrieden? 3. Bis morgen Abend schaffe ich die Arbeit nie. 4. Ich gehe nie wieder in dieses Restaurant.
nirgends;en ninguna parte, en ningún lugar;ADV;1. Ich kann die Quittung nirgends finden. 2. Hier kann man nirgends parken.
nirgendwo;"";ADV;Die Schlüssel kann ich nirgendwo finden.
nochmals;otra vez, de nuevo;ADV;Nochmals vielen Dank!
normalerweise ;normalmente;ADV;Wann haben Sie normalerweise Pause?
quer;en sentido transversal, atravesado;ADV;Ich muss zu meiner Arbeit quer durch die ganze Stadt fahren.
rückwärts;de espaldas,hacia atrás,por [oder desde] atrás;ADV;1. Ich habe die Kinder gerufen, aber sie haben mich nicht gehört. 2. Wir haben sofort einen Arzt gerufen. 3. Bitte rufen Sie die Polizei.
sehr;muy,mucho;ADV;Ich habe mich sehr über Ihren Besuch gefreut. Hier ist Ihr Essen. – Danke sehr. Das Wetter ist heute sehr schön.
sofort;enseguida, ahora mismo,en el acto;ADV;1. Sie müssen sich sofort anmelden. 2. Karten für das Konzert bekommen Sie ab sofort im Verkehrsverein.
sogar;incluso;ADV;Mein Onkel hat uns zum Essen eingeladen. Danach hat er uns sogar zum Bahnhof gebracht.
sonst;más,por lo demás,normalmente,siempre,antes,en ocasiones anteriores,si no, en caso contrario;ADV;1. Sonst noch etwas? – Nein, danke. Das ist alles. 2. Haben Sie sonst noch einen Wunsch? 3. Wir müssen jetzt gehen, sonst wird es zu spät. 4. Heute ist der Chef nicht mehr da. Sonst ist er um diese Zeit immer im Büro. 
sowieso;de todas maneras,por supuesto;ADV;Willst du mir den Brief mitgeben? Ich gehe sowieso zur Post.
spätestens;lo más tarde, a más tardar;ADV;Ich muss spätestens um 9 Uhr bei der Arbeit sein.
trotzdem ;no obstante,sin embargo;ADV;Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.
überall;por [oder en] todas partes;ADV;Ich habe überall gesucht, aber meine Brille ist weg.
überhaupt;en general,en realidad,después de todo, a fin de cuentas;ADV;1. Die Suppe schmeckt mir überhaupt nicht.2. Ich kenne hier überhaupt niemand. 3. Tut mir leid. Ich habe überhaupt keine Zeit. 4. Du willst mit meinem Auto fahren?
übermorgen;pasado mañana;ADV;Morgen kann ich nicht. Wir sehen uns übermorgen.
übrigens;por cierto, a propósito,dicho sea de paso;ADV;übrigens, kennst du schon die neuen Nachbarn?
umsonst;gratis,de coca Mex,en vano, para nada,sin motivo;ADV;1. Ich musste nichts bezahlen. Die Reparatur war umsonst.2. Nichts hat geholfen, es war alles umsonst.
vielleicht;quizá(s), tal vez,por casualidad, acaso,más o menos, quizás;ADV;1. Kommst du mit in die Stadt? – Ich weiß noch nicht. Vielleicht. 2. Vielleicht bekomme ich den Job. 3. Die Fahrkarte war vielleicht teuer! 4. Hast du vielleicht Kleingeld für mich?
voneinander;uno de otro,el uno del otro;ADV;Wir haben lange nichts voneinander gehört.
voraus;delante,a la cabeza;ADV;1. Gehen Sie schon voraus. 2. Ich danke Ihnen im Voraus für Ihre Mühe.
vorbei;pasado,por delante, a lo largo,terminado, acabado;ADV;Die Linie 8 fährt am Krankenhaus vorbei.
vorgestern;anteayer;ADV;Er hat mich vorgestern angerufen.
vorher;"antes,de antemano; anteriormente";ADV;Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.
vorhin;antes, hace un momento;ADV;Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.
vorwärts;(hacia) adelante,adelante,de adelante atrás;ADV;Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.
wann;¿cuándo?,¿en qué caso?;ADV;1. Wann kommst du? 2. Wissen Sie, wann der Kurs beginnt? 3 Bis wann muss ich mich anmelden? 4. Ab wann haben Sie geöffnet?
wenigstens;por lo menos,por lo menos, como mínimo;ADV;Ich habe keinen Hunger. – Ach, essen Sie wenigstens ein Stück Kuchen.
weshalb ;¿por qué (causa [oder motivo] )?,¿a causa de qué?,por lo que,por lo cual;ADV;Weshalb rufst du nicht mal an?
wieso ;¿por qué?,por lo que,por lo cual;ADV;Wie lange sind Sie hier? – Wieso fragen Sie?
woher;¿de dónde?,¿cómo?,del cual;ADV;1. Woher kommst du? 2. Unsere Nachbarn ziehen nach Berlin.– Woher wissen Sie das?
wohin;¿adónde?,adonde,a donde;ADV;1. Wohin kommt der Schrank? 2. Wohin fährt dieser Bus?
worüber;¿de qué?,¿sobre qué?,¿(por) encima de qué?,sobre el cual,sobre el que,(por) encima de lo cual,sobre lo cual;ADV;Worüber lachen Sie?
worum;¿de qué?,¿sobre qué?,¿en torno a qué?,¿alrededor de qué?,de que,sobre el cual,alrededor de lo que,en torno a lo que;ADV;Kann ich Herrn Meier sprechen? – Worum geht es denn?
zurzeit;de momento;ADV;Zurzeit habe ich sehr viel zu tun.
zuletzt;por último,el último,por última vez,finalmente, después de todo;ADV;1. Die Kleider packen wir zuletzt ein. 2. Wir haben uns vor drei Jahren zuletzt gesehen.
zumindest;en todo caso, por lo menos,como mínimo;ADV;Ich möchte nicht in der Stadt wohnen, zumindest jetzt nicht, wenn die Kinder noch so klein sind.
zwar;"";ADV;1. Diese Schuhe sind zwar teuer, aber gut.2. Ich kriege jetzt doch eine Woche Urlaub, und zwar nächsten Monat.
